STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-01,0.0,2.1,3.9,-2.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-02,0.3,4.0,8.9,0.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-03,8.9,8.9,9.4,2.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-04,15.5,1.0,3.3,-6.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-05,0.3,-6.6,-6.0,-9.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-06,2.3,-11.3,-8.8,-13.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-07,0.0,-11.9,-8.2,-12.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-08,0.3,-9.8,-7.1,-10.5
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-09,0.0,-6.7,0.0,-9.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-10,3.3,1.1,10.6,-2.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-11,7.9,6.9,15.0,1.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-12,19.1,9.7,17.2,0.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-13,22.9,-1.1,0.0,-3.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-14,0.0,-1.4,-0.5,-2.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-15,0.0,-2.1,0.0,-3.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-16,0.0,-0.4,5.0,-3.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-17,10.7,9.4,15.6,1.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-18,1.3,5.7,4.4,2.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-19,0.3,4.3,6.1,1.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-20,0.8,6.7,11.7,2.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-21,7.9,11.8,17.8,5.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-22,0.8,13.1,15.0,3.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-23,7.9,5.5,5.0,2.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-24,10.9,3.7,3.3,1.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-25,1.0,5.6,11.1,2.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-26,1.0,4.9,5.6,1.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-27,4.8,0.7,1.1,-1.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-28,0.8,-1.4,-0.5,-2.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-29,0.5,-1.2,0.0,-3.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-30,3.3,-3.2,-2.1,-4.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-01-31,1.5,-0.5,3.3,-3.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-01,3.3,2.4,2.2,0.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-02,0.3,-1.2,0.6,-4.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-03,0.0,-5.1,-2.7,-6.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-04,0.0,-4.8,0.0,-8.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-05,0.0,1.8,5.6,-1.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-06,0.0,2.7,11.1,-2.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-07,25.1,11.2,15.6,6.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-08,1.5,5.9,7.2,-2.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-09,3.6,-3.7,-2.1,-6.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-10,1.3,-5.9,4.4,-8.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-11,0.0,5.3,8.9,1.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-12,5.8,4.9,5.0,1.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-13,0.3,2.2,2.2,0.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-14,0.0,3.9,11.1,0.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-15,0.5,2.0,6.1,-2.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-16,2.0,-2.3,-1.6,-3.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-17,0.5,1.7,12.2,-3.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-18,0.0,13.1,21.7,8.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-19,0.0,12.3,12.8,2.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-20,0.0,7.6,7.2,1.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-21,0.0,11.9,18.3,2.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-22,0.0,14.4,17.8,10.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-23,0.8,16.2,18.9,6.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-24,2.5,16.6,25.0,3.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-25,17.0,9.8,16.7,-2.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-26,0.3,-0.4,5.6,-3.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-27,0.0,5.5,10.6,3.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-02-28,0.0,9.2,16.7,5.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-01,8.4,14.2,18.9,2.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-02,4.1,1.4,2.2,-1.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-03,4.1,-2.9,-1.0,-4.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-04,0.8,-3.6,-2.1,-5.5
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-05,0.0,-1.4,8.9,-6.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-06,0.0,10.3,15.6,7.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-07,13.0,13.2,16.1,5.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-08,5.3,8.8,13.3,4.4
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-09,0.0,7.5,7.2,1.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-10,2.3,0.7,2.2,-5.5
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-11,0.0,-4.9,-2.1,-7.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-12,0.3,-3.6,-2.7,-4.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-13,0.0,-3.1,-0.5,-4.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-14,5.3,-4.6,-2.1,-6.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-15,1.5,-5.2,-0.5,-5.5
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-16,0.3,-0.9,1.1,-2.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-17,0.0,-0.1,6.7,-2.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-18,6.4,2.4,4.4,1.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-19,3.6,2.6,2.8,0.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-20,0.0,4.6,9.4,2.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-21,0.8,8.1,8.3,0.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-22,0.0,-0.1,0.6,-3.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-23,0.0,-0.1,10.0,-4.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-24,9.7,13.2,23.9,4.4
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-25,0.0,14.0,20.0,3.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-26,0.0,12.6,20.6,3.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-27,9.9,14.3,14.4,8.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-28,7.9,9.3,12.8,3.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-29,0.8,6.8,10.0,2.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-30,2.3,8.9,11.1,3.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-03-31,14.0,10.6,13.9,3.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-01,18.8,4.7,6.7,2.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-02,0.5,7.7,13.3,3.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-03,0.0,15.1,23.3,11.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-04,21.3,14.8,16.1,6.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-05,0.0,10.8,18.3,5.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-06,9.7,9.0,15.0,1.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-07,17.5,2.9,6.1,1.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-08,2.8,5.9,10.6,0.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-09,0.0,13.6,23.9,7.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-10,0.0,21.2,26.7,16.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-11,0.0,18.4,22.2,7.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-12,8.4,11.2,10.6,6.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-13,0.0,10.1,10.0,7.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-14,0.0,12.3,11.1,7.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-15,0.0,18.6,27.8,9.4
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-16,0.8,22.7,25.0,10.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-17,0.0,15.6,16.7,8.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-18,0.0,14.2,19.4,7.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-19,0.0,19.7,23.9,10.6
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-20,16.8,18.6,26.7,10.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-21,12.7,14.3,19.4,7.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-22,0.0,8.9,8.9,6.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-23,0.0,10.0,12.2,4.4
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-24,0.0,13.8,21.7,8.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-25,0.0,17.7,23.3,12.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-26,0.5,19.8,28.3,13.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-27,0.0,22.7,27.2,11.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-28,0.3,13.4,17.8,8.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-29,13.0,12.2,14.4,7.8
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-04-30,7.4,17.2,30.0,9.4
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-01,1.3,20.9,24.4,11.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-02,16.0,11.4,11.7,6.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-03,2.3,9.8,11.7,6.7
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-04,0.3,10.8,11.7,8.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-05,19.6,10.5,10.6,7.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-06,10.7,8.0,9.4,7.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-07,11.7,9.4,11.7,7.2
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-08,0.0,8.2,10.6,6.1
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-09,0.0,9.7,12.8,4.4
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-10,0.0,13.3,13.9,8.9
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-11,8.6,13.0,12.2,10.0
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-12,1.8,12.3,12.8,9.4
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-13,0.0,13.7,17.8,8.3
US1OHMD0002,"BRUNSWICK 0.5 NE, OH US",2017-05-14,1.0,14.6,15.0,10.6
