STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-01,0.00,7.78,9.44,3.89
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-02,4.57,4.44,5.56,3.33
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-03,11.43,5.56,8.33,4.44
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-04,0.00,8.33,12.22,2.22
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-05,0.00,1.11,2.22,-2.22
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-06,1.02,0.00,1.67,-2.22
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-07,7.11,-3.89,-2.22,-5.56
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-08,0.00,-5.00,-2.78,-7.22
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-09,0.00,-6.11,-4.44,-8.33
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-10,0.00,-2.22,8.33,-5.00
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-11,13.21,8.33,12.22,6.67
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-12,1.27,12.78,20.00,8.89
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-13,0.00,12.22,17.22,1.11
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-14,2.54,0.00,1.11,-1.67
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-15,0.00,1.67,5.00,0.56
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-16,0.00,2.78,6.67,-0.56
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-17,9.40,5.56,6.11,3.89
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-18,2.79,5.00,7.22,3.89
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-19,0.00,6.67,10.00,5.00
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-20,1.78,6.11,7.78,5.00
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-21,0.00,7.78,10.56,5.00
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-22,0.76,7.78,10.00,6.11
USW00014732,"LA GUARDIA AIRPORT, NY US",2017-01-23,21.59,6.67,7.22,3.33
