STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-01,0.00,16.67,24.44,9.44
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-02,12.95,17.22,25.00,11.67
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-03,0.00,14.44,25.00,3.33
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-04,0.00,7.78,8.89,0.56
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-05,0.00,9.44,17.78,2.22
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-06,0.00,1.67,2.22,-4.44
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-07,0.00,-1.67,6.11,-7.22
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-08,0.00,-0.56,11.67,-8.89
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-09,0.00,10.56,22.78,2.78
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-10,0.00,18.89,27.22,15.00
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-11,0.00,19.44,27.22,13.33
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-12,0.00,22.22,28.33,18.33
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-13,3.56,22.78,27.22,13.33
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-14,4.83,12.78,13.33,9.44
US1TXWM0118,"BRUSHY CREEK 2.3 SW, TX US",2017-01-15,0.00,13.33,24.44,10.00
US1TXHYS059,"AUSTIN 14.7 WSW, TX US",2017-01-16,29.46,18.89,21.11,15.00
US1TXHYS059,"AUSTIN 14.7 WSW, TX US",2017-01-17,0.76,13.89,15.00,9.44
US1TXHYS059,"AUSTIN 14.7 WSW, TX US",2017-01-18,32.77,10.56,13.89,8.89
US1TXTV0059,"TANGLEWOOD FOREST 0.6 NE, TX US",2017-01-19,0.00,13.89,20.56,10.56
US1TXTV0059,"TANGLEWOOD FOREST 0.6 NE, TX US",2017-01-20,0.00,16.11,25.56,8.33
US1TXTV0059,"TANGLEWOOD FOREST 0.6 NE, TX US",2017-01-21,0.00,16.67,28.89,6.11
US1TXTV0059,"TANGLEWOOD FOREST 0.6 NE, TX US",2017-01-22,0.00,18.33,21.11,10.00
US1TXHYS059,"AUSTIN 14.7 WSW, TX US",2017-01-23,0.00,14.44,24.44,4.44
US1TXTV0059,"TANGLEWOOD FOREST 0.6 NE, TX US",2017-01-24,0.00,16.11,29.44,4.44
US1TXTV0059,"TANGLEWOOD FOREST 0.6 NE, TX US",2017-01-25,0.00,18.89,20.56,5.56
US1TXTV0059,"TANGLEWOOD FOREST 0.6 NE, TX US",2017-01-26,0.00,8.89,15.00,0.56
US1TXTV0059,"TANGLEWOOD FOREST 0.6 NE, TX US",2017-01-27,0.00,6.67,14.44,0.00
