STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USC00455525,"MONROE, WA US",2017-01-01,7.62,1.67,0.56,-3.33
USC00455525,"MONROE, WA US",2017-01-02,0.00,0.00,0.00,-4.44
USC00455525,"MONROE, WA US",2017-01-03,0.00,-2.78,-0.56,-8.33
USC00455525,"MONROE, WA US",2017-01-04,0.00,-2.78,1.11,-8.33
USC00455525,"MONROE, WA US",2017-01-05,0.00,-2.22,2.22,-10.56
USC00455525,"MONROE, WA US",2017-01-06,0.00,-1.67,0.00,-9.44
USC00455525,"MONROE, WA US",2017-01-07,0.00,0.56,1.11,-8.89
USC00455525,"MONROE, WA US",2017-01-08,11.94,2.78,3.33,-2.22
USC00455525,"MONROE, WA US",2017-01-09,4.32,3.89,3.33,0.56
USC00455525,"MONROE, WA US",2017-01-10,0.00,2.78,3.89,-2.22
USC00455525,"MONROE, WA US",2017-01-11,0.00,0.00,3.89,-7.22
USC00455525,"MONROE, WA US",2017-01-12,0.00,-0.56,3.89,-8.89
USC00455525,"MONROE, WA US",2017-01-13,0.00,-0.56,0.56,-8.33
USC00455525,"MONROE, WA US",2017-01-14,0.00,1.11,4.44,-7.78
USC00455525,"MONROE, WA US",2017-01-15,0.00,1.11,5.56,-6.67
USC00455525,"MONROE, WA US",2017-01-16,0.00,2.22,6.67,-3.89
USC00455525,"MONROE, WA US",2017-01-17,18.54,6.11,6.11,1.67
USC00455525,"MONROE, WA US",2017-01-18,26.92,7.78,6.67,3.33
USC00455525,"MONROE, WA US",2017-01-19,11.68,7.78,8.33,3.33
USC00455525,"MONROE, WA US",2017-01-20,0.25,7.78,8.33,-2.22
USC00455525,"MONROE, WA US",2017-01-21,0.25,7.22,11.67,0.56
USC00455525,"MONROE, WA US",2017-01-22,2.54,7.22,6.11,0.00
USC00455525,"MONROE, WA US",2017-01-23,0.00,5.00,6.67,-2.22
USC00455525,"MONROE, WA US",2017-01-24,0.00,2.78,3.89,-3.89
USC00455525,"MONROE, WA US",2017-01-25,0.25,3.33,4.44,-3.89
USC00455525,"MONROE, WA US",2017-01-26,0.25,6.11,8.33,1.11
USC00455525,"MONROE, WA US",2017-01-27,0.25,6.67,11.11,-2.78
USC00455525,"MONROE, WA US",2017-01-28,0.00,7.22,8.89,-1.67
USC00455525,"MONROE, WA US",2017-01-29,1.02,6.11,8.33,0.00
USC00455525,"MONROE, WA US",2017-01-30,0.00,6.67,6.11,1.67
USC00455525,"MONROE, WA US",2017-01-31,0.76,5.00,6.11,0.00
USC00455525,"MONROE, WA US",2017-02-01,0.00,2.22,5.00,-6.11
USC00455525,"MONROE, WA US",2017-02-02,0.00,3.33,6.67,-6.11
USC00455525,"MONROE, WA US",2017-02-03,15.49,2.78,2.22,-2.78
USC00455525,"MONROE, WA US",2017-02-04,19.05,5.00,3.89,0.00
USC00455525,"MONROE, WA US",2017-02-05,12.19,3.89,4.44,0.00
USC00455525,"MONROE, WA US",2017-02-06,12.19,0.56,4.44,-2.78
USC00455525,"MONROE, WA US",2017-02-07,1.02,1.67,4.44,-3.33
USC00455525,"MONROE, WA US",2017-02-08,8.13,2.22,1.11,-1.67
USC00455525,"MONROE, WA US",2017-02-09,43.94,6.67,12.22,-1.67
USC00455525,"MONROE, WA US",2017-02-10,7.62,8.33,8.33,2.22
USC00455525,"MONROE, WA US",2017-02-11,0.00,5.00,8.33,0.56
USC00455525,"MONROE, WA US",2017-02-12,0.00,5.00,8.89,-2.22
USC00455525,"MONROE, WA US",2017-02-13,0.00,5.56,11.67,-3.33
USC00455525,"MONROE, WA US",2017-02-14,0.25,7.22,15.00,-2.22
USC00455525,"MONROE, WA US",2017-02-15,45.72,9.44,8.33,3.33
USC00455525,"MONROE, WA US",2017-02-16,22.86,10.56,11.67,6.67
USC00455525,"MONROE, WA US",2017-02-17,0.25,8.89,12.78,3.89
USC00455525,"MONROE, WA US",2017-02-18,3.81,6.67,12.78,2.78
USC00455525,"MONROE, WA US",2017-02-19,3.81,6.67,7.78,2.22
USC00455525,"MONROE, WA US",2017-02-20,8.13,6.11,6.11,3.33
USC00455525,"MONROE, WA US",2017-02-21,1.52,6.11,8.33,1.11
USC00455525,"MONROE, WA US",2017-02-22,0.25,5.00,6.11,-1.11
USC00455525,"MONROE, WA US",2017-02-23,0.25,3.33,6.67,-1.11
USC00455525,"MONROE, WA US",2017-02-24,0.25,2.78,7.22,-0.56
USC00455525,"MONROE, WA US",2017-02-25,0.00,3.89,5.56,-3.33
USC00455525,"MONROE, WA US",2017-02-26,13.46,3.89,5.00,-0.56
USC00455525,"MONROE, WA US",2017-02-27,8.38,3.33,5.00,-1.11
USC00455525,"MONROE, WA US",2017-02-28,0.51,2.78,5.56,-1.11
USC00455525,"MONROE, WA US",2017-03-01,0.00,6.67,7.78,4.44
USC00455525,"MONROE, WA US",2017-03-02,5.59,6.67,6.67,3.33
USC00455525,"MONROE, WA US",2017-03-03,13.21,8.33,8.33,1.11
USC00455525,"MONROE, WA US",2017-03-04,3.56,5.00,6.67,0.56
USC00455525,"MONROE, WA US",2017-03-05,5.08,4.44,4.44,-2.22
USC00455525,"MONROE, WA US",2017-03-06,0.25,3.33,6.67,1.67
USC00455525,"MONROE, WA US",2017-03-07,9.91,2.78,2.78,0.00
USC00455525,"MONROE, WA US",2017-03-08,3.56,5.00,6.11,-0.56
USC00455525,"MONROE, WA US",2017-03-09,14.48,3.89,5.56,1.67
